course_code,course_title,program,year_level,term,course_type,units,hours_per_week
COMPORG,COMPUTER ORGANIZATION &amp; ARCHITECTURE,BSIT,1,1,Lecture,3,2
COMPORG,COMPUTER ORGANIZATION &amp; ARCHITECTURE,BSIT,1,1,Lab,3,2
INPROLA,INTRODUCTION TO PROGRAMMING &amp; THEORIES,BSIT,1,2,Lecture,3,2
INPROLA,INTRODUCTION TO PROGRAMMING &amp; THEORIES,BSIT,1,2,Lab,3,2
MANPRIN,MANAGEMENT PRINCIPLES,BSIT,1,2,Lecture,3,2
OPESYST,OPERATING SYSTEMS,BSIT,1,2,Lecture,3,2
OPESYST,OPERATING SYSTEMS,BSIT,1,2,Lab,3,2
DASTRUC,DATA STRUCTURES,BSIT,1,3,Lecture,2,2
DASTRUC,DATA STRUCTURES,BSIT,1,3,Lab,2,2
BUSPROS,Business Process,BSIT,1,3,Both,4,2
DNETCOM,"NETWORK SECURITY, STORAGE &amp; DATA COMMUNICATION",BSIT,1,3,Lecture,3,2
DNETCOM,"NETWORK SECURITY, STORAGE &amp; DATA COMMUNICATION",BSIT,1,3,Lab,3,2
# BSIT Courses - Year 2,,,,,,,
USERDES,UI/UX DESIGN AND PROGRAMMING,BSIT,2,1,Lecture,3,2
USERDES,UI/UX DESIGN AND PROGRAMMING,BSIT,2,1,Lab,3,2
DISCRET,DISCRETE MATH,BSIT,2,1,Lecture,3,2
DISCRET,DISCRETE MATH,BSIT,2,1,Lab,3,2
DATAMA1,DATABASE MANAGEMENT 1,BSIT,2,1,Lecture,3,2
DATAMA1,DATABASE MANAGEMENT 1,BSIT,2,1,Lab,3,2
QUAMET1,QUANTITATIVE METHODS 1,BSIT,2,1,Lecture,3,2
QUAMET1,QUANTITATIVE METHODS 1,BSIT,2,1,Lab,3,2
RPASYST,RPA SYSTEMS,BSIT,2,1,Lecture,3,2
RPASYST,RPA SYSTEMS,BSIT,2,1,Lab,3,2
INFOSEC,INFORMATION SECURITY,BSIT,2,1,Lecture,3,2
INFOSEC,INFORMATION SECURITY,BSIT,2,1,Lab,3,2
WEBPROG,WEB PROGAMMING (for BSIT),BSIT,2,2,Lecture,2,2
WEBPROG,WEB PROGAMMING (for BSIT),BSIT,2,2,Lab,2,2
MOBPROG,MOBILE PROGRAMMING,BSIT,2,2,Lecture,3,2
MOBPROG,MOBILE PROGRAMMING,BSIT,2,2,Lab,3,2
DATAMA2,DATABASE MANAGEMENT 2 and ADMINISTRATION,BSIT,2,2,Lecture,3,2
DATAMA2,DATABASE MANAGEMENT 2 and ADMINISTRATION,BSIT,2,2,Lab,3,2
PEMBEDS,PROGRAMMING EMBEDDED SYSTEMS,BSIT,2,2,Lecture,3,2
PEMBEDS,PROGRAMMING EMBEDDED SYSTEMS,BSIT,2,2,Lab,3,2
ELECTV1,ELECTIVE 1,BSIT,2,2,Lecture,3,2
ELECTV1,ELECTIVE 1,BSIT,2,2,Lab,3,2
CLDCOMP,CLOUD COMPUTING &amp; VIRTUALIZATION,BSIT,2,2,Lecture,3,2
CLDCOMP,CLOUD COMPUTING &amp; VIRTUALIZATION,BSIT,2,2,Lab,3,2
EXCOMP1,EXTENSIVE COMPETENCY COMMUNICATION PROGRAM 1,BSIT,2,3,Lecture,3,2
EXCOMP1,EXTENSIVE COMPETENCY COMMUNICATION PROGRAM 1,BSIT,2,3,Lab,3,2
MNTSDEV,INTRODUCTION TO SYSTEMS AND DESIGN,BSIT,2,3,Lecture,2,2
MNTSDEV,INTRODUCTION TO SYSTEMS AND DESIGN,BSIT,2,3,Lab,2,2
ELECTV2,ELECTIVE 2,BSIT,2,3,Lecture,2,2
ELECTV2,ELECTIVE 2,BSIT,2,3,Lab,2,2
# BSIT Courses - Year 3,,,,,,,
MSYADD1,SYSTEMS ANALYSIS &amp; DETAILED DESIGN,BSIT,3,1,Lecture,4,2
MSYADD1,SYSTEMS ANALYSIS &amp; DETAILED DESIGN,BSIT,3,1,Lab,4,2
ELECTV3,ELECTIVE 3,BSIT,3,1,Lecture,4,2
ELECTV3,ELECTIVE 3,BSIT,3,1,Lab,4,2
ICTSRV1,ICT SERVICES MANAGEMENT (A+ PC TROUBLESHOOTING),BSIT,3,1,Lecture,3,2
MCSPROJ,APPLIED PROJECT - SYSTEM PHOTOTYPE,BSIT,3,2,Lecture,3,2
TENTREP,TECHNOPRENEURSHIP,BSIT,3,2,Lecture,3,4
ELECTV4,ELECTIVE 4,BSIT,3,2,Lecture,4,2
ELECTV4,ELECTIVE 4,BSIT,3,2,Lab,4,2
PROJMAN,PROJECT MANAGEMENT,BSIT,3,3,Lecture,4,2
PROJMAN,PROJECT MANAGEMENT,BSIT,3,3,Lab,4,2
MNSYSIT,MANAGEMENT INFORMATION SYSTEMS &amp; IT TRENDS,BSIT,3,3,Lecture,4,2
MNSYSIT,MANAGEMENT INFORMATION SYSTEMS &amp; IT TRENDS,BSIT,3,3,Lab,4,2
ITBLAWS,IT AND BUSINESS LAWS,BSIT,3,3,Lecture,3,4
# BSIT Courses - Year 4,,,,,,,
PROFETH,PROFESSIONAL ETHICS,BSIT,4,1,Lecture,3,4
SOFTDEV,SOFTWARE DEVELOPMENT,BSIT,4,1,Lecture,3,2
SOFTDEV,SOFTWARE DEVELOPMENT,BSIT,4,1,Lab,3,2
QUALITY,SOFTWARE QUALITY MANAGEMENT,BSIT,4,1,Lecture,3,2
QUALITY,SOFTWARE QUALITY MANAGEMENT,BSIT,4,1,Lab,3,2
xINTERN1,INTERNSHIP 1,BSIT,4,2,Lecture,3,4
INTERN2,INTERNSHIP 2,BSIT,4,3,Lecture,3,4
# BSIS Courses - Year 1,,,,,,,
CCINCOMX,INTRODUCTION TO COMPUTING - LEC,BSIS,1,1,Lecture,3,2.67
CCINCOBL,INTRODUCTION TO COMPUTING - LAB,BSIS,1,1,Lab,1,4
CCPRGG1X,FUNDAMENTALS OF PROGRAMMING - LEC,BSIS,1,1,Lecture,3,2.67
CCPRG1BL,FUNDAMENTALS OF PROGRAMMING - LAB,BSIS,1,1,Lab,1,4
CCFUINSY,FUNDAMENTALS OF INFORMATION SYSTEMS,BSIS,1,2,Lecture,3,2.67
CCFUINSY,FUNDAMENTALS OF INFORMATION SYSTEMS,BSIS,1,2,Lab,3,4
CCPRGG2X,INTERMEDIATE PROGRAMMING - LEC,BSIS,1,2,Lecture,3,2.67
CCPRG2BL,INTERMEDIATE PROGRAMMING - LAB,BSIS,1,2,Lab,3,4
CCDATRCL,DATA STRUCTURES AND ALGORITHMS,BSIS,1,3,Lecture,2,2.67
CCDATRCL,DATA STRUCTURES AND ALGORITHMS,BSIS,1,3,Lab,2,4
CCORMACO,ORGANIZATION AND MANAGEMENT CONCEPTS,BSIS,1,3,Lecture,3,2.67
CCORMACO,ORGANIZATION AND MANAGEMENT CONCEPTS,BSIS,1,3,Lab,3,4
# BSIS Courses - Year 2,,,,,,,
CTINFMGL,INFORMATION MANAGEMENT,BSIS,2,1,Lecture,4,2.67
CTINFMGL,INFORMATION MANAGEMENT,BSIS,2,1,Lab,4,4
CCSPEL1X,SPORTS ELECTIVE 1 ( E-GAMES DESIGN I ),BSIS,2,1,Lecture,4,2
CCSPEL1X,SPORTS ELECTIVE 1 ( E-GAMES DESIGN I ),BSIS,2,1,Lab,4,2
